16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,0,
16,1,1,1,6,1,1,1,1,1,1,1,1,16,1,1,1,13,13,13,13,0,
16,1,1,1,6,1,1,1,1,1,1,1,1,16,1,1,1,13,13,13,13,0,
16,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,0,
16,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,0,
16,8,7,7,7,9,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,0,
16,6,1,1,1,2,1,1,2,11,11,11,15,11,11,11,10,13,13,13,13,0,
16,12,11,15,11,10,1,1,2,1,1,1,1,1,1,1,14,13,13,13,13,0,
16,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,4,13,13,13,13,0,
16,1,1,1,1,1,1,1,1,13,13,13,13,13,13,13,13,13,13,13,13,0,
16,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,0,
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
